Episode,Pick,Picked by,Reason,Link,Tags
97,Better Angels Of Our Nature by Steven Pinker,Peter Singer,"I think it's a it's a really interesting study and for people who think that, you know, the world is really bad, it's getting worse and worse, it's getting more and more violent. There was a bomb that went off here. There's this war going on there. It's a it's a really good antidote to that kind of pessimism, because I think Pinker shows fairly clearly that if you look at things over the course of history, for any given individual, the chances of dying a violent death at the hands of other human beings are lower now then they have ever been. And they've been getting progressively lower over the centuries and over the millennia. So that in fact we are justified in feeling more secure, were justified in feeling that we are making progress towards a more civilised world, a less violent world than we have ever been in before.",https://uk.bookshop.org/books/the-better-angels-of-our-nature-a-history-of-violence-and-humanity/9780141034645,"history, book"
108,Slatestarcodex (now Astral Codex Ten),Julia,"It's a blogged by a soon to be doctor who is also just incredibly knowledgeable about incredible number of things. And I really, really excellent thinker. So he writes about philosophy and rationality and ethics and also about social and political issues.",slatestarcodex.com,"politics, philosophy, alturism, science, history, blog, culture"
108,Farewell to Reality: How Modern Physics Has Betrayed the Search for Scientific Truth by Jim Baggott,Massimo,"The book goes through some interesting sort of history of what he calls the authorised version of the view of the world according to physics. So they understand their model in the search for the unified theory and all that. And then he gets into the second party, gets into what he calls the grand delusion where he thinks physics as essentially abandoned or is about to abandon science as we know it. And it's getting into highly speculative and completely impossible to test notions, including things like string theory and parallel universes.",https://uk.bookshop.org/books/farewell-to-reality-how-fairytale-physics-betrays-the-search-for-scientific-truth/9781780334929,"book, science"
121,Open Philanthropy Project,Benjamin Todd,"In 2012 Givewell partnered with Good Ventures, which is a multibillion dollar foundation set up by Cari Tuna and Dustin Moskovitz, who's one of the co founders of Facebook, and they've now formed a project which is branded separately called the Open Philanthropy Project and its aims is to spend those several billion dollars in the way that has the largest social impact according to their values, which they they expressed generally as global humanitarianism. So the main thing being that people's lives have equal value.",openphilanthropyproject.org,"alturism, blog, website"
135,The Mating Mind by Geoffrey Miller,Robin Hanson,"It was a book that very much influenced me 15 years ago when I was first trying to make sense of a wide range of strange things people were doing. He offered a grand ambitious hypothesis that tried to explain a wide range of puzzling human behavior, and that was inspiring to me to try to take on that level of ambition and scope. In the end, I'm not sure I'm that persuaded by the particular hypothesis he came up with. It has some plausibility. But I was more just drawn to the attempt and the spirit of it, of trying to make sense of a lot of strange things people do. Just realizing that a lot of what people do is strange, that's right on the face of it. Once you see it, it's kind of obvious, but we just miss it unless somebody points it out.",https://uk.bookshop.org/books/the-mating-mind-how-sexual-choice-shaped-the-evolution-of-human-nature/9780099288244,"book, psychology"
136,The Origins of Political Order by Francis Fukuyama,David Roodman,"It provides a predominantly political history of India, China, Europe, and then the United States once it came along. And it’s a comparative history of these regions. I guess the Middle East as well up through 1800. It really helped me appreciate what makes China different from India, and what makes China today so much like China of 2,000 years ago. The continuities over time are really quite extraordinary. It’s one of the books I’ve read recently that has most helped me understand the world.",https://uk.bookshop.org/books/the-origins-of-political-order-from-prehuman-times-to-the-french-revolution/9781846682575,"politics, history, book"
142,Freddie deBoer blog,Paul Bloom,"A fascinating blog, on intellectual affairs, political things. My sense is that all sorts of people read it. It has a huge influence but it deserves a bigger influence.",https://freddiedeboer.substack.com/ (previously http://fredrikdeboer.com/blog/),"blog, politics"
142,Tapped Out by Matt Polly,Paul Bloom,"Which is his experience as a normal journalist, somewhat out of shape guy, becoming a mixed martial artist. His next book is on Bruce Lee and he just writes like a dream.",https://www.worldofbooks.com/en-gb/books/matthew-polly/tapped-out/9781592405992,"book, fiction"
142,Hannibal Season 3,Paul Bloom,"The whole show is filled with monsters and serial killers and psychiatrists. Two episodes ago, one of the psychiatrists -- who was also a murderer played by the woman who played Scully in The X-Files -- turned to the main character and said very carefully, ""Great acts of cruelty require an immense capacity for empathy.""",https://en.wikipedia.org/wiki/Hannibal_%28TV_series%29,"TV, fiction, crime, psychology"
144,Superforecasters by Philip Tetlock,Bryan Caplan,"And then the book looks at what exactly is the deal with these people who are great forecasters, what are their cognitive styles, how do they think - and other things like if you put a bunch of superforecasters together, are they super superforecasters? And yeah, they kind of are. This book is one of the most important books of social science ever, really. It goes and shows that while social scientists, and especially pundits, are terrible on their accuracy it’s not because the questions are unsolvable -- rather it's because pundits are mostly entertainers, they're not actually serious thinkers, so we should just ignore them and start paying a lot more attention to Tetlock's Superforecasters.",https://uk.bookshop.org/books/superforecasting-the-art-and-science-of-prediction-9781847947154/9781847947154,"book, rationality"
